"Measurement.number","Individual","Value","Group","Index"
176,"HART.14",0.709105,"HART",160
177,"HART.14",0.7097664,"HART",161
178,"HART.14",0.7096555,"HART",162
179,"HART.14",0.7086794,"HART",163
180,"HART.14",0.7092101,"HART",164
181,"HART.14",0.7096614,"HART",165
182,"HART.14",0.7090887,"HART",166
183,"HART.14",0.7092242,"HART",167
184,"HART.14",0.7089112,"HART",168
185,"HART.14",0.7095255,"HART",169
186,"HART.14",0.7096764,"HART",170
187,"HART.14",0.7086697,"HART",171
188,"HART.14",0.7096417,"HART",172
189,"HART.14",0.7092292,"HART",173
190,"HART.14",0.7092315,"HART",174
191,"HART.14",0.7094272,"HART",175
192,"HART.14",0.7094998,"HART",176
193,"HART.14",0.709861,"HART",177
194,"HART.14",0.7091337,"HART",178
195,"HART.14",0.7088606,"HART",179
196,"HART.14",0.7094282,"HART",180
197,"HART.14",0.7103192,"HART",181
198,"HART.14",0.7093886,"HART",182
199,"HART.14",0.7091692,"HART",183
200,"HART.14",0.7088073,"HART",184
201,"HART.14",0.7094761,"HART",185
202,"HART.14",0.7097338,"HART",186
203,"HART.14",0.709017,"HART",187
204,"HART.14",0.7088073,"HART",188
205,"HART.14",0.7100248,"HART",189
206,"HART.14",0.7095417,"HART",190
207,"HART.14",0.7102823,"HART",191
208,"HART.14",0.7089039,"HART",192
209,"HART.14",0.7103223,"HART",193
210,"HART.14",0.7094099,"HART",194
211,"HART.14",0.7100975,"HART",195
212,"HART.14",0.7102509,"HART",196
213,"HART.14",0.7103868,"HART",197
214,"HART.14",0.7095881,"HART",198
215,"HART.14",0.7092715,"HART",199
217,"HART.14",0.7095362,"HART",200
218,"HART.14",0.7099533,"HART",201
219,"HART.14",0.7106098,"HART",202
220,"HART.14",0.7097889,"HART",203
221,"HART.14",0.7106364,"HART",204
222,"HART.14",0.7101436,"HART",205
223,"HART.14",0.7095958,"HART",206
224,"HART.14",0.7109374,"HART",207
225,"HART.14",0.7094119,"HART",208
226,"HART.14",0.710058,"HART",209
227,"HART.14",0.709964,"HART",210
228,"HART.14",0.7100808,"HART",211
229,"HART.14",0.7095921,"HART",212
230,"HART.14",0.7109964,"HART",213
231,"HART.14",0.7096072,"HART",214
232,"HART.14",0.709631,"HART",215
233,"HART.14",0.7092997,"HART",216
234,"HART.14",0.7102901,"HART",217
235,"HART.14",0.7101402,"HART",218
236,"HART.14",0.7094912,"HART",219
237,"HART.14",0.7101224,"HART",220
238,"HART.14",0.7100644,"HART",221
239,"HART.14",0.7107502,"HART",222
240,"HART.14",0.7098934,"HART",223
242,"HART.14",0.7098753,"HART",224
244,"HART.14",0.7107138,"HART",225
245,"HART.14",0.7091847,"HART",226
246,"HART.14",0.7104173,"HART",227
247,"HART.14",0.7109223,"HART",228
249,"HART.14",0.7104902,"HART",229
252,"HART.14",0.7098953,"HART",230
254,"HART.14",0.7094311,"HART",231
260,"HART.14",0.7106734,"HART",232
266,"HART.14",0.7096267,"HART",233
269,"HART.14",0.710143,"HART",234
270,"HART.14",0.7095812,"HART",235
286,"HART.14",0.7103054,"HART",236
295,"HART.14",0.709187,"HART",237
300,"HART.14",0.7086688,"HART",238
