"Measurement.number","Individual","Value","Group","Index"
12,"HART.16",0.7103236,"HART",1
13,"HART.16",0.7107446,"HART",2
14,"HART.16",0.710469,"HART",3
15,"HART.16",0.7102799,"HART",4
16,"HART.16",0.710201,"HART",5
17,"HART.16",0.7094994,"HART",6
18,"HART.16",0.7100688,"HART",7
20,"HART.16",0.7104107,"HART",8
21,"HART.16",0.710431,"HART",9
22,"HART.16",0.7107594,"HART",10
24,"HART.16",0.7101188,"HART",11
25,"HART.16",0.7103045,"HART",12
26,"HART.16",0.7096665,"HART",13
27,"HART.16",0.7102636,"HART",14
28,"HART.16",0.7097275,"HART",15
29,"HART.16",0.7094449,"HART",16
30,"HART.16",0.7101083,"HART",17
31,"HART.16",0.7103222,"HART",18
32,"HART.16",0.7104497,"HART",19
33,"HART.16",0.7098255,"HART",20
34,"HART.16",0.7098673,"HART",21
35,"HART.16",0.709151,"HART",22
36,"HART.16",0.7092285,"HART",23
37,"HART.16",0.7094851,"HART",24
38,"HART.16",0.7109592,"HART",25
39,"HART.16",0.7090309,"HART",26
40,"HART.16",0.7096586,"HART",27
41,"HART.16",0.710404,"HART",28
42,"HART.16",0.7103499,"HART",29
43,"HART.16",0.7088492,"HART",30
44,"HART.16",0.7094688,"HART",31
45,"HART.16",0.7100814,"HART",32
46,"HART.16",0.7102877,"HART",33
47,"HART.16",0.7092454,"HART",34
48,"HART.16",0.7101362,"HART",35
49,"HART.16",0.7092173,"HART",36
50,"HART.16",0.7098816,"HART",37
51,"HART.16",0.7088282,"HART",38
52,"HART.16",0.7076786,"HART",39
53,"HART.16",0.7098994,"HART",40
54,"HART.16",0.7094046,"HART",41
55,"HART.16",0.7091493,"HART",42
56,"HART.16",0.7094573,"HART",43
57,"HART.16",0.7093888,"HART",44
58,"HART.16",0.710075,"HART",45
59,"HART.16",0.7096903,"HART",46
60,"HART.16",0.7091708,"HART",47
61,"HART.16",0.709973,"HART",48
62,"HART.16",0.7090611,"HART",49
63,"HART.16",0.7098303,"HART",50
64,"HART.16",0.7097767,"HART",51
65,"HART.16",0.7093978,"HART",52
66,"HART.16",0.7098508,"HART",53
67,"HART.16",0.709845,"HART",54
68,"HART.16",0.7095741,"HART",55
69,"HART.16",0.709105,"HART",56
70,"HART.16",0.7100233,"HART",57
71,"HART.16",0.7092849,"HART",58
72,"HART.16",0.7089415,"HART",59
73,"HART.16",0.7096934,"HART",60
74,"HART.16",0.7108064,"HART",61
75,"HART.16",0.7094548,"HART",62
76,"HART.16",0.709513,"HART",63
77,"HART.16",0.7096643,"HART",64
78,"HART.16",0.7107418,"HART",65
79,"HART.16",0.7091709,"HART",66
80,"HART.16",0.709464,"HART",67
81,"HART.16",0.7086582,"HART",68
82,"HART.16",0.7101372,"HART",69
83,"HART.16",0.7101312,"HART",70
84,"HART.16",0.7097854,"HART",71
85,"HART.16",0.7095343,"HART",72
86,"HART.16",0.7097086,"HART",73
87,"HART.16",0.7098417,"HART",74
88,"HART.16",0.7097606,"HART",75
89,"HART.16",0.7108974,"HART",76
90,"HART.16",0.7096331,"HART",77
91,"HART.16",0.7087856,"HART",78
92,"HART.16",0.7099616,"HART",79
93,"HART.16",0.7099377,"HART",80
94,"HART.16",0.7107476,"HART",81
95,"HART.16",0.7097145,"HART",82
96,"HART.16",0.7096396,"HART",83
97,"HART.16",0.7099969,"HART",84
98,"HART.16",0.7098283,"HART",85
99,"HART.16",0.7092514,"HART",86
100,"HART.16",0.7092242,"HART",87
101,"HART.16",0.7098147,"HART",88
102,"HART.16",0.7097231,"HART",89
103,"HART.16",0.7101824,"HART",90
104,"HART.16",0.7103011,"HART",91
105,"HART.16",0.7100931,"HART",92
106,"HART.16",0.7094596,"HART",93
107,"HART.16",0.7095527,"HART",94
108,"HART.16",0.7099557,"HART",95
109,"HART.16",0.7093646,"HART",96
110,"HART.16",0.7093815,"HART",97
111,"HART.16",0.7098685,"HART",98
112,"HART.16",0.7103515,"HART",99
113,"HART.16",0.7097938,"HART",100
114,"HART.16",0.7090765,"HART",101
115,"HART.16",0.7089899,"HART",102
116,"HART.16",0.7090475,"HART",103
117,"HART.16",0.7096484,"HART",104
118,"HART.16",0.7092422,"HART",105
119,"HART.16",0.7102795,"HART",106
120,"HART.16",0.7089249,"HART",107
121,"HART.16",0.7085846,"HART",108
122,"HART.16",0.709476,"HART",109
123,"HART.16",0.7094794,"HART",110
124,"HART.16",0.7104097,"HART",111
125,"HART.16",0.709758,"HART",112
126,"HART.16",0.7094495,"HART",113
127,"HART.16",0.7097044,"HART",114
128,"HART.16",0.7102437,"HART",115
129,"HART.16",0.7100563,"HART",116
130,"HART.16",0.7097943,"HART",117
131,"HART.16",0.7095455,"HART",118
132,"HART.16",0.7100928,"HART",119
133,"HART.16",0.709397,"HART",120
134,"HART.16",0.7089673,"HART",121
135,"HART.16",0.7096442,"HART",122
136,"HART.16",0.7092979,"HART",123
137,"HART.16",0.7093359,"HART",124
138,"HART.16",0.7093433,"HART",125
139,"HART.16",0.7101955,"HART",126
140,"HART.16",0.7092636,"HART",127
141,"HART.16",0.709548,"HART",128
142,"HART.16",0.7092494,"HART",129
143,"HART.16",0.7084129,"HART",130
144,"HART.16",0.7100283,"HART",131
145,"HART.16",0.7091002,"HART",132
146,"HART.16",0.7093572,"HART",133
147,"HART.16",0.7097886,"HART",134
148,"HART.16",0.7090638,"HART",135
149,"HART.16",0.710046,"HART",136
150,"HART.16",0.70983,"HART",137
151,"HART.16",0.7095435,"HART",138
152,"HART.16",0.709954,"HART",139
153,"HART.16",0.7099353,"HART",140
154,"HART.16",0.710112,"HART",141
155,"HART.16",0.709536,"HART",142
156,"HART.16",0.7099007,"HART",143
157,"HART.16",0.7094886,"HART",144
158,"HART.16",0.710251,"HART",145
159,"HART.16",0.7094683,"HART",146
160,"HART.16",0.7093579,"HART",147
161,"HART.16",0.7095933,"HART",148
163,"HART.16",0.709792,"HART",149
164,"HART.16",0.7101413,"HART",150
165,"HART.16",0.7097079,"HART",151
166,"HART.16",0.7101311,"HART",152
167,"HART.16",0.7100115,"HART",153
168,"HART.16",0.709762,"HART",154
169,"HART.16",0.7097813,"HART",155
170,"HART.16",0.709438,"HART",156
171,"HART.16",0.7093372,"HART",157
172,"HART.16",0.7092843,"HART",158
173,"HART.16",0.7099052,"HART",159
174,"HART.16",0.7093887,"HART",160
175,"HART.16",0.7095292,"HART",161
176,"HART.16",0.7097347,"HART",162
177,"HART.16",0.7099024,"HART",163
178,"HART.16",0.7095724,"HART",164
179,"HART.16",0.7089576,"HART",165
180,"HART.16",0.7088397,"HART",166
181,"HART.16",0.7095512,"HART",167
182,"HART.16",0.7090773,"HART",168
183,"HART.16",0.709616,"HART",169
184,"HART.16",0.7088783,"HART",170
185,"HART.16",0.71015,"HART",171
186,"HART.16",0.7100527,"HART",172
187,"HART.16",0.7084986,"HART",173
188,"HART.16",0.7088066,"HART",174
189,"HART.16",0.7097725,"HART",175
190,"HART.16",0.7095726,"HART",176
191,"HART.16",0.709229,"HART",177
192,"HART.16",0.7095081,"HART",178
193,"HART.16",0.7098738,"HART",179
194,"HART.16",0.7098685,"HART",180
195,"HART.16",0.7097194,"HART",181
196,"HART.16",0.7098355,"HART",182
197,"HART.16",0.7090346,"HART",183
198,"HART.16",0.7097839,"HART",184
199,"HART.16",0.7090934,"HART",185
200,"HART.16",0.7105706,"HART",186
201,"HART.16",0.7094401,"HART",187
202,"HART.16",0.709696,"HART",188
203,"HART.16",0.7098847,"HART",189
204,"HART.16",0.7102742,"HART",190
205,"HART.16",0.7088464,"HART",191
206,"HART.16",0.7098743,"HART",192
207,"HART.16",0.7099249,"HART",193
208,"HART.16",0.7100469,"HART",194
209,"HART.16",0.7105679,"HART",195
210,"HART.16",0.7095074,"HART",196
211,"HART.16",0.7092668,"HART",197
212,"HART.16",0.7094762,"HART",198
213,"HART.16",0.7100515,"HART",199
214,"HART.16",0.7093465,"HART",200
215,"HART.16",0.7094371,"HART",201
216,"HART.16",0.7089551,"HART",202
217,"HART.16",0.7101272,"HART",203
218,"HART.16",0.7099295,"HART",204
219,"HART.16",0.7095319,"HART",205
220,"HART.16",0.7097066,"HART",206
221,"HART.16",0.7094542,"HART",207
222,"HART.16",0.7096281,"HART",208
223,"HART.16",0.7094126,"HART",209
