"Measurement.number","Individual","Value","Group","Index"
1,"HART.19",0.7101043,"HART",1
2,"HART.19",0.7059596,"HART",2
3,"HART.19",0.707892,"HART",3
5,"HART.19",0.7108565,"HART",4
6,"HART.19",0.7095122,"HART",5
7,"HART.19",0.7109965,"HART",6
8,"HART.19",0.7066943,"HART",7
9,"HART.19",0.7089962,"HART",8
11,"HART.19",0.7079697,"HART",9
13,"HART.19",0.7089991,"HART",10
14,"HART.19",0.7066652,"HART",11
17,"HART.19",0.7107798,"HART",12
18,"HART.19",0.7075758,"HART",13
19,"HART.19",0.710644,"HART",14
20,"HART.19",0.7070454,"HART",15
21,"HART.19",0.7078584,"HART",16
22,"HART.19",0.70881,"HART",17
23,"HART.19",0.7067117,"HART",18
24,"HART.19",0.7085126,"HART",19
25,"HART.19",0.7073363,"HART",20
26,"HART.19",0.7068385,"HART",21
27,"HART.19",0.7083545,"HART",22
28,"HART.19",0.7069296,"HART",23
29,"HART.19",0.7104738,"HART",24
30,"HART.19",0.708137,"HART",25
31,"HART.19",0.7092095,"HART",26
32,"HART.19",0.7084724,"HART",27
33,"HART.19",0.7092405,"HART",28
34,"HART.19",0.7084648,"HART",29
35,"HART.19",0.7077087,"HART",30
36,"HART.19",0.7092056,"HART",31
37,"HART.19",0.7097329,"HART",32
38,"HART.19",0.7093204,"HART",33
39,"HART.19",0.7095748,"HART",34
40,"HART.19",0.70904,"HART",35
41,"HART.19",0.7091591,"HART",36
42,"HART.19",0.70906,"HART",37
43,"HART.19",0.7093551,"HART",38
44,"HART.19",0.7096039,"HART",39
45,"HART.19",0.7090325,"HART",40
46,"HART.19",0.7089563,"HART",41
47,"HART.19",0.7105521,"HART",42
48,"HART.19",0.7078413,"HART",43
49,"HART.19",0.7087964,"HART",44
50,"HART.19",0.7093117,"HART",45
51,"HART.19",0.7098461,"HART",46
52,"HART.19",0.7090665,"HART",47
53,"HART.19",0.7085364,"HART",48
54,"HART.19",0.7087636,"HART",49
55,"HART.19",0.7090674,"HART",50
56,"HART.19",0.7090583,"HART",51
57,"HART.19",0.7095037,"HART",52
58,"HART.19",0.7086318,"HART",53
59,"HART.19",0.7092076,"HART",54
60,"HART.19",0.7094047,"HART",55
61,"HART.19",0.7090759,"HART",56
62,"HART.19",0.7087364,"HART",57
63,"HART.19",0.7092089,"HART",58
64,"HART.19",0.7089255,"HART",59
65,"HART.19",0.7082906,"HART",60
66,"HART.19",0.7086501,"HART",61
67,"HART.19",0.7087986,"HART",62
68,"HART.19",0.7079618,"HART",63
69,"HART.19",0.7088403,"HART",64
70,"HART.19",0.7080534,"HART",65
71,"HART.19",0.7090646,"HART",66
72,"HART.19",0.7083337,"HART",67
73,"HART.19",0.7080344,"HART",68
74,"HART.19",0.7084989,"HART",69
75,"HART.19",0.7076666,"HART",70
76,"HART.19",0.7080561,"HART",71
77,"HART.19",0.7084153,"HART",72
78,"HART.19",0.708059,"HART",73
79,"HART.19",0.7084075,"HART",74
80,"HART.19",0.7080939,"HART",75
81,"HART.19",0.7087447,"HART",76
82,"HART.19",0.7088502,"HART",77
83,"HART.19",0.7082754,"HART",78
84,"HART.19",0.7080415,"HART",79
85,"HART.19",0.7082824,"HART",80
86,"HART.19",0.7079183,"HART",81
87,"HART.19",0.7088965,"HART",82
88,"HART.19",0.7081739,"HART",83
89,"HART.19",0.7106077,"HART",84
90,"HART.19",0.7104264,"HART",85
91,"HART.19",0.7085056,"HART",86
92,"HART.19",0.7079737,"HART",87
93,"HART.19",0.7066451,"HART",88
94,"HART.19",0.7079798,"HART",89
95,"HART.19",0.7089675,"HART",90
96,"HART.19",0.7077839,"HART",91
97,"HART.19",0.708414,"HART",92
98,"HART.19",0.7084029,"HART",93
99,"HART.19",0.7076888,"HART",94
100,"HART.19",0.7083712,"HART",95
101,"HART.19",0.7074052,"HART",96
102,"HART.19",0.7082836,"HART",97
103,"HART.19",0.7070313,"HART",98
104,"HART.19",0.7064892,"HART",99
105,"HART.19",0.7088954,"HART",100
106,"HART.19",0.7085557,"HART",101
107,"HART.19",0.7072212,"HART",102
108,"HART.19",0.7079001,"HART",103
109,"HART.19",0.7077505,"HART",104
110,"HART.19",0.7090201,"HART",105
111,"HART.19",0.7077667,"HART",106
112,"HART.19",0.7079453,"HART",107
113,"HART.19",0.7082607,"HART",108
114,"HART.19",0.7074537,"HART",109
