"Measurement.number","Individual","Value","Group","Index"
1,"HART.18",0.708786,"HART",1
2,"HART.18",0.7070499,"HART",2
4,"HART.18",0.708389,"HART",3
6,"HART.18",0.7076607,"HART",4
7,"HART.18",0.7093203,"HART",5
9,"HART.18",0.7060987,"HART",6
10,"HART.18",0.7092761,"HART",7
11,"HART.18",0.7085671,"HART",8
12,"HART.18",0.710728,"HART",9
13,"HART.18",0.7084103,"HART",10
14,"HART.18",0.7104313,"HART",11
17,"HART.18",0.7075429,"HART",12
18,"HART.18",0.7094954,"HART",13
19,"HART.18",0.7092631,"HART",14
20,"HART.18",0.7070799,"HART",15
21,"HART.18",0.7103089,"HART",16
22,"HART.18",0.7090097,"HART",17
23,"HART.18",0.7075642,"HART",18
24,"HART.18",0.7097087,"HART",19
25,"HART.18",0.7088184,"HART",20
26,"HART.18",0.708998,"HART",21
27,"HART.18",0.7100016,"HART",22
28,"HART.18",0.7092503,"HART",23
29,"HART.18",0.7086391,"HART",24
30,"HART.18",0.7092948,"HART",25
31,"HART.18",0.7092138,"HART",26
32,"HART.18",0.7085672,"HART",27
33,"HART.18",0.7091966,"HART",28
34,"HART.18",0.7087451,"HART",29
35,"HART.18",0.7091117,"HART",30
36,"HART.18",0.7073149,"HART",31
37,"HART.18",0.7089998,"HART",32
38,"HART.18",0.7089433,"HART",33
39,"HART.18",0.7087426,"HART",34
40,"HART.18",0.7089563,"HART",35
41,"HART.18",0.7096517,"HART",36
42,"HART.18",0.7087041,"HART",37
43,"HART.18",0.7094499,"HART",38
44,"HART.18",0.7098739,"HART",39
45,"HART.18",0.7088804,"HART",40
46,"HART.18",0.7094337,"HART",41
47,"HART.18",0.7087325,"HART",42
48,"HART.18",0.7094827,"HART",43
49,"HART.18",0.7086008,"HART",44
50,"HART.18",0.7089175,"HART",45
51,"HART.18",0.7089685,"HART",46
52,"HART.18",0.7090486,"HART",47
53,"HART.18",0.7090215,"HART",48
54,"HART.18",0.7099279,"HART",49
55,"HART.18",0.7097016,"HART",50
56,"HART.18",0.7107276,"HART",51
57,"HART.18",0.7086102,"HART",52
58,"HART.18",0.7090577,"HART",53
59,"HART.18",0.7094205,"HART",54
60,"HART.18",0.708817,"HART",55
61,"HART.18",0.7089374,"HART",56
62,"HART.18",0.7090344,"HART",57
63,"HART.18",0.7085004,"HART",58
64,"HART.18",0.7091473,"HART",59
65,"HART.18",0.709657,"HART",60
66,"HART.18",0.709346,"HART",61
67,"HART.18",0.7087288,"HART",62
68,"HART.18",0.7087451,"HART",63
69,"HART.18",0.7092647,"HART",64
70,"HART.18",0.7089802,"HART",65
71,"HART.18",0.7092767,"HART",66
72,"HART.18",0.7078791,"HART",67
73,"HART.18",0.709571,"HART",68
74,"HART.18",0.7090866,"HART",69
75,"HART.18",0.7084597,"HART",70
76,"HART.18",0.7098101,"HART",71
77,"HART.18",0.7091719,"HART",72
78,"HART.18",0.7095271,"HART",73
79,"HART.18",0.7091451,"HART",74
80,"HART.18",0.7086342,"HART",75
81,"HART.18",0.7085801,"HART",76
82,"HART.18",0.7087466,"HART",77
83,"HART.18",0.7096077,"HART",78
84,"HART.18",0.7088006,"HART",79
85,"HART.18",0.7089847,"HART",80
86,"HART.18",0.7080626,"HART",81
87,"HART.18",0.7100791,"HART",82
88,"HART.18",0.7088848,"HART",83
89,"HART.18",0.7075044,"HART",84
90,"HART.18",0.7080343,"HART",85
91,"HART.18",0.7078018,"HART",86
92,"HART.18",0.7085402,"HART",87
93,"HART.18",0.7061165,"HART",88
