"Measurement.number","Individual","Value","Group","Index"
10,"HART.13",0.7108623,"HART",1
11,"HART.13",0.7104513,"HART",2
15,"HART.13",0.7098955,"HART",3
16,"HART.13",0.7106645,"HART",4
18,"HART.13",0.7106575,"HART",5
19,"HART.13",0.7108079,"HART",6
20,"HART.13",0.7095425,"HART",7
21,"HART.13",0.7098973,"HART",8
22,"HART.13",0.7103018,"HART",9
23,"HART.13",0.709749,"HART",10
24,"HART.13",0.7108963,"HART",11
25,"HART.13",0.7106945,"HART",12
26,"HART.13",0.7104495,"HART",13
27,"HART.13",0.7099828,"HART",14
28,"HART.13",0.7102494,"HART",15
29,"HART.13",0.7097054,"HART",16
30,"HART.13",0.7098752,"HART",17
31,"HART.13",0.7102103,"HART",18
32,"HART.13",0.709581,"HART",19
33,"HART.13",0.7095434,"HART",20
34,"HART.13",0.7103239,"HART",21
35,"HART.13",0.7103282,"HART",22
36,"HART.13",0.7100118,"HART",23
37,"HART.13",0.7106633,"HART",24
38,"HART.13",0.7095267,"HART",25
39,"HART.13",0.7100869,"HART",26
40,"HART.13",0.7098944,"HART",27
41,"HART.13",0.7099372,"HART",28
42,"HART.13",0.7101152,"HART",29
43,"HART.13",0.7097429,"HART",30
44,"HART.13",0.7100983,"HART",31
45,"HART.13",0.710095,"HART",32
46,"HART.13",0.7096636,"HART",33
47,"HART.13",0.7098255,"HART",34
48,"HART.13",0.7095034,"HART",35
49,"HART.13",0.7097474,"HART",36
50,"HART.13",0.7094329,"HART",37
51,"HART.13",0.7091056,"HART",38
52,"HART.13",0.7097338,"HART",39
53,"HART.13",0.7098643,"HART",40
54,"HART.13",0.7093164,"HART",41
55,"HART.13",0.709314,"HART",42
56,"HART.13",0.7100419,"HART",43
57,"HART.13",0.7105323,"HART",44
58,"HART.13",0.7103335,"HART",45
59,"HART.13",0.7105744,"HART",46
60,"HART.13",0.7096416,"HART",47
61,"HART.13",0.7100785,"HART",48
62,"HART.13",0.7105511,"HART",49
63,"HART.13",0.7088111,"HART",50
64,"HART.13",0.7103638,"HART",51
65,"HART.13",0.7098631,"HART",52
