Measurement number,HART-14,HART-15,HART-13,HART-12,HART-16,HART-17,HART-18,HART-19,JACK-11,JACK-22,JACK-24,JACK-25,JACK-31,JACK-33,JACK-34,JACK-35,Elson-23-1,Elson-23-2,Elson-23-3,Elson-26-4,Elson-24-4,Elson-26-2,Elson-23-5,Elson-24-2,Elson-24-3,Elson-24-5,Elson-26-1,Elson-26-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,0.7092977,0.7099140,0.7101152,0.7135827,0.7103499,0.7063544,0.7087041,0.7090600,0.7084273,0.7061207,0.7087264,0.7090038,0.7142495,0.7093237,0.7115733,0.7093234,0.7099246,0.7094149,0.7063721,0.7098612,0.7092428,0.7086833,0.7101208,0.7096706,0.7089898,0.7095215,0.7090231,0.7087729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,0.7102220,0.7111975,0.7097429,0.7145278,0.7088492,0.7105676,0.7094499,0.7093551,0.7086688,0.7086521,0.7078723,0.7098190,0.7092650,0.7090568,0.7085329,0.7092585,0.7088327,0.7093511,0.7076750,0.7093141,0.7087456,0.7093066,0.7090397,0.7093204,0.7094921,0.7085191,0.7097632,0.7088001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,0.7097320,0.7102665,0.7100983,0.7176308,0.7094688,0.7096517,0.7098739,0.7096039,0.7087269,0.7082236,0.7094953,0.7085958,0.7084617,0.7096743,0.7097380,0.7092174,0.7093454,0.7098030,0.7153430,0.7089895,0.7081241,0.7096664,0.7096693,0.7089977,0.7087697,0.7094386,0.7090808,0.7090333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,0.7097601,0.7107124,0.7100950,0.7168730,0.7100814,0.7096848,0.7088804,0.7090325,0.7088844,0.7070533,0.7088550,0.7093341,0.7122174,0.7086151,0.7083692,0.7082888,0.7095778,0.7088355,0.7188400,0.7098986,0.7090379,0.7093554,0.7091756,0.7094814,0.7087344,0.7091131,0.7089168,0.7089135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0.7099260,0.7102746,0.7096636,0.7149266,0.7102877,0.7045352,0.7094337,0.7089563,0.7081578,0.7100359,0.7099577,0.7091721,0.7086266,0.7092731,0.7106960,0.7096021,0.7102894,0.7110646,0.7102007,0.7088123,0.7092689,0.7100567,0.7093531,0.7097968,0.7092293,0.7103158,0.7096474,0.7096905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,0.7095332,0.7104925,0.7098255,0.7147378,0.7092454,0.7102599,0.7087325,0.7105521,0.7084697,0.7074288,0.7089897,0.7091287,0.7108075,0.7091185,0.7071547,0.7096840,0.7084740,0.7092600,0.7100617,0.7092203,0.7077045,0.7094843,0.7093297,0.7094752,0.7089118,0.7092178,0.7094580,0.7095701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,0.7099011,0.7099530,0.7095034,0.7168673,0.7101362,0.7051019,0.7094827,0.7078413,0.7091003,0.7103556,0.7087342,0.7089809,0.7103747,0.7088198,0.7108668,0.7087942,0.7104699,0.7087249,0.7097995,0.7086429,0.7084534,0.7089326,0.7095208,0.7092058,0.7090719,0.7091818,0.7089922,0.7088202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,0.7104817,0.7101862,0.7097474,0.7155210,0.7092173,0.7074856,0.7086008,0.7087964,0.7086239,0.7064157,0.7088817,0.7096106,0.7117536,0.7101982,0.7124683,0.7086157,0.7092987,0.7094643,0.7103409,0.7087751,0.7084034,0.7102803,0.7095678,0.7091757,0.7088793,0.7095624,0.7089232,0.7085045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,0.7104333,0.7101638,0.7094329,0.7142775,0.7098816,0.7098287,0.7089175,0.7093117,0.7088192,0.7078045,0.7098276,0.7091613,0.7119518,0.7087760,0.7076376,0.7093403,0.7091410,0.7088479,0.7078588,0.7088913,0.7088496,0.7091112,0.7090206,0.7092202,0.7091144,0.7094541,0.7095791,0.7086608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,0.7097715,0.7108435,0.7091056,0.7128535,0.7088282,0.7075207,0.7089685,0.7098461,0.7083157,0.7097151,0.7080882,0.7092801,0.7103940,0.7082528,0.7119638,0.7091322,0.7108134,0.7098165,0.7137325,0.7094171,0.7084940,0.7091478,0.7089073,0.7060040,0.7092969,0.7095974,0.7085666,0.7092960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,0.7092411,0.7103409,0.7097338,0.7144322,0.7076786,0.7090306,0.7090486,0.7090665,0.7089035,0.7065434,0.7086363,0.7096345,0.7084236,0.7090560,0.7095738,0.7086544,0.7098990,0.7091914,0.7110185,0.7090599,0.7089329,0.7098368,0.7090193,0.7097443,0.7094827,0.7093118,0.7091720,0.7095259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,0.7100957,0.7104334,0.7098643,0.7129469,0.7098994,0.7088050,0.7090215,0.7085364,0.7082901,0.7104428,0.7092187,0.7089393,0.7104354,0.7096036,0.7113299,0.7095082,0.7097355,0.7088836,0.7144605,0.7099889,0.7090082,0.7091974,0.7095154,0.7092888,0.7094593,0.7094188,0.7088553,0.7085388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,0.7095252,0.7102685,0.7093164,0.7182640,0.7094046,0.7089923,0.7099279,0.7087636,0.7099284,0.7077490,0.7076880,0.7094640,0.7072693,0.7086850,0.7071903,0.7097576,0.7083253,0.7097042,0.7131801,0.7096861,0.7087484,0.7084972,0.7091345,0.7090651,0.7089706,0.7081789,0.7093671,0.7095665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,0.7098763,0.7103752,0.7093140,0.7146897,0.7091493,0.7097208,0.7097016,0.7090674,0.7080753,0.7083444,0.7095027,0.7088495,0.7087565,0.7090984,0.7049691,0.7091050,0.7083138,0.7093382,0.7087643,0.7086624,0.7077330,0.7090878,0.7096127,0.7085394,0.7091029,0.7111561,0.7084798,0.7090879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,0.7102581,0.7111003,0.7100419,0.7152897,0.7094573,0.7083942,0.7107276,0.7090583,0.7094694,0.7080832,0.7093065,0.7091185,0.7092971,0.7095510,0.7070905,0.7091364,0.7099776,0.7098943,0.7023842,0.7086619,0.7085810,0.7092216,0.7093671,0.7096638,0.7095129,0.7096477,0.7087512,0.7092308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,0.7113236,0.7095838,0.7105323,0.7139698,0.7093888,0.7082331,0.7086102,0.7095037,0.7084928,0.7067482,0.7087783,0.7090062,0.7090390,0.7089664,0.7095488,0.7094638,0.7093644,0.7098864,0.7134412,0.7096013,0.7082697,0.7095659,0.7087901,0.7094605,0.7088022,0.7093829,0.7098736,0.7092487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,0.7101932,0.7104606,0.7103335,0.7093724,0.7100750,0.7071954,0.7090577,0.7086318,0.7092686,0.7099384,0.7099311,0.7087180,0.7081307,0.7086320,0.7084954,0.7084326,0.7098669,0.7094264,0.7107743,0.7086853,0.7080399,0.7092430,0.7089624,0.7088079,0.7087928,0.7090419,0.7083449,0.7088644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,0.7099027,0.7107434,0.7105744,0.7154578,0.7096903,0.7081981,0.7094205,0.7092076,0.7084592,0.7081563,0.7086173,0.7089245,0.7097799,0.7089222,0.7099046,0.7087939,0.7098232,0.7100160,0.7004874,0.7083142,0.7086923,0.7086730,0.7092070,0.7088831,0.7090949,0.7090238,0.7096739,0.7085370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,0.7092457,0.7092353,0.7096416,0.7145382,0.7091708,0.7085043,0.7088170,0.7094047,0.7088941,0.7092524,0.7081892,0.7088939,0.7081612,0.7084252,0.7094698,0.7092575,0.7106180,0.7090624,0.7097334,0.7095108,0.7089317,0.7089046,0.7092917,0.7093566,0.7089561,0.7091871,0.7092665,0.7093144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,0.7098609,0.7101544,0.7100785,0.7131533,0.7099730,0.7086513,0.7089374,0.7090759,0.7079351,0.7091100,0.7085806,0.7097998,0.7095191,0.7087083,0.7084306,0.7094868,0.7093026,0.7102044,0.7166395,0.7094976,0.7080406,0.7095188,0.7088620,0.7096626,0.7091248,0.7087290,0.7096039,0.7079248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,0.7111940,0.7102819,0.7105511,0.7134572,0.7090611,0.7067507,0.7090344,0.7087364,0.7089610,0.7096073,0.7090996,0.7092467,0.7099315,0.7092946,0.7095451,0.7150153,0.7097274,0.7097895,0.7111617,0.7082186,0.7079189,0.7100936,0.7091191,0.7087953,0.7094520,0.7094297,0.7100157,0.7089380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,0.7092354,0.7111826,0.7088111,0.7154254,0.7098303,0.7103890,0.7085004,0.7092089,0.7095407,0.7091894,0.7089931,0.7093677,0.7093678,0.7088728,0.7083579,0.7082783,0.7089269,0.7091022,0.7066964,0.7092334,0.7085452,0.7091670,0.7091440,0.7084741,0.7097409,0.7084270,0.7091698,0.7087367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,0.7106693,0.7089173,0.7103638,0.7172387,0.7097767,0.7124622,0.7091473,0.7089255,0.7087699,0.7094626,0.7087843,0.7091221,0.7091873,0.7085698,0.7096750,0.7101931,0.7091316,0.7090728,0.7025596,0.7092428,0.7086613,0.7077194,0.7086426,0.7086628,0.7089985,0.7093916,0.7079448,0.7097582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,0.7103691,0.7101040,0.7098631,0.7145748,0.7093978,0.7091672,0.7096570,0.7082906,0.7088570,0.7085114,0.7089510,0.7100667,0.7099011,0.7091199,0.7090833,0.7086409,0.7092547,0.7087758,0.7068162,0.7094465,0.7079515,0.7093134,0.7091186,0.7085799,0.7098126,0.7095454,0.7080438,0.7082421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,0.7097882,0.7101058,0.7102894,0.7142614,0.7098508,0.7109044,0.7093460,0.7086501,0.7085109,0.7097203,0.7101523,0.7083305,0.7096733,0.7087509,0.7093488,0.7094383,0.7091639,0.7094577,0.7103867,0.7081877,0.7083368,0.7092995,0.7094307,0.7084179,0.7091048,0.7089526,0.7086151,0.7094811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,0.7097718,0.7108642,0.7096699,0.7150681,0.7098450,0.7094782,0.7087288,0.7087986,0.7079448,0.7082888,0.7089075,0.7093996,0.7094289,0.7087263,0.7086003,0.7094787,0.7092072,0.7088807,0.7153728,0.7087544,0.7083633,0.7095624,0.7091715,0.7086204,0.7090142,0.7094765,0.7102059,0.7086564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,0.7103451,0.7103445,0.7101777,0.7139437,0.7095741,0.7200119,0.7087451,0.7079618,0.7084203,0.7092138,0.7088848,0.7095767,0.7084769,0.7095762,0.7090799,0.7092230,0.7096242,0.7083969,0.7092335,0.7089454,0.7086520,0.7095444,0.7094995,0.7090094,0.7092836,0.7091896,0.7090199,0.7089419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,0.7106275,0.7108030,0.7093388,0.7162694,0.7091050,0.7107372,0.7092647,0.7088403,0.7083723,0.7092085,0.7085366,0.7091293,0.7087254,0.7088135,0.7093962,0.7086098,0.7102604,0.7088511,0.7093135,0.7084648,0.7085529,0.7095238,0.7089026,0.7090750,0.7093468,0.7091803,0.7091470,0.7089148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,0.7092507,0.7115785,0.7095500,0.7156072,0.7100233,0.7114398,0.7089802,0.7080534,0.7075387,0.7083704,0.7096444,0.7095042,0.7089756,0.7086782,0.7093414,0.7095025,0.7095937,0.7095308,0.7035543,0.7097559,0.7091410,0.7091754,0.7095376,0.7085885,0.7092674,0.7094946,0.7086064,0.7093956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,0.7099632,0.7105327,0.7103206,0.7132570,0.7092849,0.7106271,0.7092767,0.7090646,0.7094329,0.7090457,0.7089441,0.7093821,0.7091300,0.7090202,0.7086140,0.7086526,0.7083333,0.7098278,0.7019450,0.7086075,0.7082837,0.7090102,0.7104584,0.7089870,0.7092975,0.7090043,0.7090866,0.7095837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,0.7109651,0.7102806,0.7092355,0.7090722,0.7089415,0.7074091,0.7078791,0.7083337,0.7097429,0.7093615,0.7088583,0.7094059,0.7096705,0.7094179,0.7087667,0.7095387,0.7104394,0.7090071,0.7110912,0.7093580,0.7086542,0.7086256,0.7099117,0.7095396,0.7092261,0.7089654,0.7091610,0.7088862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,0.7102386,0.7102765,0.7098761,0.7174678,0.7096934,0.7082286,0.7095710,0.7080344,0.7081927,0.7083762,0.7092198,0.7091965,0.7091756,0.7083447,0.7097273,0.7103241,0.7100356,0.7095347,0.7126200,0.7089195,0.7080318,0.7095164,0.7093483,0.7091570,0.7087531,0.7092620,0.7088849,0.7089739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,0.7081844,0.7096515,0.7105071,0.7109016,0.7108064,0.7083098,0.7090866,0.7084989,0.7087483,0.7092706,0.7084404,0.7089641,0.7097297,0.7089807,0.7097493,0.7087207,0.7092777,0.7068787,0.7091631,0.7092379,0.7086570,0.7085972,0.7094568,0.7089645,0.7088395,0.7088688,0.7096190,0.7091879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,0.7105399,0.7104790,0.7100975,0.7158588,0.7094548,0.7091081,0.7084597,0.7076666,0.7089578,0.7083945,0.7097680,0.7091543,0.7092564,0.7095417,0.7091871,0.7085205,0.7085489,0.7096910,0.7098095,0.7089505,0.7085052,0.7097762,0.7078350,0.7087359,0.7091722,0.7097151,0.7093590,0.7093248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,0.7100492,0.7095511,0.7097168,0.7142111,0.7095130,0.7091131,0.7098101,0.7080561,0.7095438,0.7085162,0.7090222,0.7086501,0.7089437,0.7088122,0.7078706,0.7091663,0.7093119,0.7084340,0.7130468,0.7092950,0.7077028,0.7093689,0.7093060,0.7078304,0.7086624,0.7098120,0.7090169,0.7092970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,0.7097915,0.7096019,0.7111024,0.7180595,0.7096643,0.7078409,0.7091719,0.7084153,0.7086204,0.7092418,0.7090320,0.7091751,0.7098558,0.7102081,0.7095486,0.7098330,0.7087312,0.7096381,0.7194725,0.7094738,0.7087278,0.7092901,0.7090185,0.7088545,0.7095302,0.7092368,0.7095629,0.7088675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,0.7106558,0.7106321,0.7097716,0.7162446,0.7107418,0.7084140,0.7095271,0.7080590,0.7090171,0.7095670,0.7089005,0.7087907,0.7090714,0.7083879,0.7088560,0.7088384,0.7092191,0.7078479,0.7090418,0.7082809,0.7085917,0.7098963,0.7083603,0.7088914,0.7094893,0.7093040,0.7087976,0.7096785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,0.7098099,0.7102436,0.7097324,0.7139661,0.7091709,0.7092838,0.7091451,0.7084075,0.7094801,0.7085889,0.7088829,0.7088097,0.7092954,0.7086666,0.7084816,0.7091678,0.7096380,0.7088838,0.7201613,0.7089545,0.7084621,0.7088780,0.7090201,0.7078382,0.7086058,0.7095658,0.7105822,0.7091436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,0.7098843,0.7100759,0.7102155,0.7139202,0.7094640,0.7074876,0.7086342,0.7080939,0.7081396,0.7084321,0.7083083,0.7088110,0.7090160,0.7088091,0.7099669,0.7087224,0.7100371,0.7093405,0.7122193,0.7087755,0.7085434,0.7092640,0.7094654,0.7089383,0.7090964,0.7087116,0.7095402,0.7092374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,0.7096241,0.7102034,0.7092580,0.7150495,0.7086582,0.7081456,0.7085801,0.7087447,0.7083011,0.7093703,0.7090089,0.7086768,0.7078109,0.7089245,0.7084156,0.7095747,0.7090333,0.7090137,0.7028390,0.7102086,0.7095354,0.7091093,0.7082731,0.7093958,0.7094285,0.7093075,0.7092630,0.7091850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,0.7097114,0.7096518,0.7097373,0.7163626,0.7101372,0.7117593,0.7087466,0.7088502,0.7093133,0.7090525,0.7084136,0.7095892,0.7114029,0.7081692,0.7101576,0.7111081,0.7106919,0.7071746,0.7060163,0.7096246,0.7090623,0.7088757,0.7092408,0.7091229,0.7090772,0.7091696,0.7093996,0.7088925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,0.7101177,0.7108058,0.7098312,0.7122404,0.7101312,0.7099353,0.7096077,0.7082754,0.7079284,0.7073483,0.7102150,0.7086774,0.7103347,0.7091632,0.7076709,0.7082975,0.7083227,0.7094218,0.7051764,0.7088709,0.7078707,0.7086669,0.7093142,0.7072138,0.7086548,0.7094527,0.7093506,0.7084049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,0.7098680,0.7098753,0.7095031,0.6987599,0.7097854,0.7120882,0.7088006,0.7080415,0.7095939,0.7090887,0.7090469,0.7088924,0.7095761,0.7092027,0.7089110,0.7094232,0.7090456,0.7089066,0.7071860,0.7089225,0.7084283,0.7095932,0.7088075,0.7076354,0.7100100,0.7093592,0.7086425,0.7091087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,0.7079657,0.7099880,0.7097425,0.7129301,0.7095343,0.7093327,0.7089847,0.7082824,0.7096295,0.7095461,0.7091142,0.7079214,0.7100150,0.7095020,0.7088436,0.7084143,0.7081980,0.7086321,0.7120366,0.7092556,0.7077340,0.7090428,0.7086348,0.7080914,0.7090962,0.7093699,0.7096268,0.7089302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,0.7096890,0.7095378,0.7100838,0.7179597,0.7097086,0.7084703,0.7080626,0.7079183,0.7101880,0.7087717,0.7092771,0.7087579,0.7082657,0.7087658,0.7090080,0.7093071,0.7087085,0.7091484,0.7050575,0.7084848,0.7092150,0.7098789,0.7093236,0.7083674,0.7095950,0.7087367,0.7086057,0.7086998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,0.7096201,0.7104826,0.7096603,0.7166841,0.7098417,0.7101377,0.7100791,0.7088965,0.7090317,0.7082477,0.7092120,0.7095671,0.7097169,0.7080847,0.7086609,0.7086545,0.7098093,0.7090181,0.7085069,0.7089231,0.7081037,0.7098335,0.7078325,0.7086018,0.7091155,0.7093092,0.7098524,0.7085283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,0.7099805,0.7095177,0.7097568,0.7142946,0.7097606,0.7102419,0.7088848,0.7081739,0.7093214,0.7084554,0.7096802,0.7085502,0.7098487,0.7100646,0.7082158,0.7091120,0.7084744,0.7090696,0.7144948,0.7084514,0.7078484,0.7092883,0.7090827,0.7081746,0.7093395,0.7087843,0.7059261,0.7086539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,0.7096880,0.7099783,0.7099956,0.7119825,0.7108974,0.7085327,0.7075044,0.7106077,0.7095004,0.7090812,0.7101079,0.7087432,0.7078057,0.7088187,0.7089772,0.7095945,0.7096915,0.7081822,0.7053708,0.7089637,0.7086680,0.7083873,0.7085472,0.7075944,0.7094731,0.7086655,0.7091954,0.7090161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,0.7100040,0.7104437,0.7098515,0.7155934,0.7096331,0.7075200,0.7080343,0.7104264,0.7085615,0.7094877,0.7090244,0.7089441,0.7088836,0.7080259,0.7091304,0.7085148,0.7107299,0.7092174,0.7096964,0.7089206,0.7094505,0.7091237,0.7090267,0.7090940,0.7085398,0.7089079,0.7098185,0.7088922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,0.7092954,0.7106201,0.7097920,0.7122507,0.7087856,0.7086273,0.7078018,0.7085056,0.7089446,0.7094063,0.7094780,0.7085788,0.7088605,0.7091397,0.7095942,0.7086362,0.7093968,0.7092869,0.7129879,0.7092058,0.7083689,0.7091080,0.7091869,0.7091033,0.7095548,0.7091197,0.7100752,0.7118684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,0.7098101,0.7099197,0.7099181,0.7155791,0.7099616,0.7101167,0.7085402,0.7079737,0.7099332,0.7081581,0.7092577,0.7090186,0.7091082,0.7088912,0.7093751,0.7088925,0.7095743,0.7093184,0.7159685,0.7095608,0.7083338,0.7091937,0.7095019,0.7076314,0.7093354,0.7091985,0.7094149,0.7085886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,0.7101195,0.7100424,0.7098105,0.7106293,0.7099377,0.7094731,0.7061165,0.7066451,0.7105441,0.7095774,0.7097562,0.7086164,0.7081076,0.7081603,0.7094037,0.7084909,0.7104329,0.7089020,0.7023307,0.7089004,0.7084636,0.7090434,0.7098059,0.7091001,0.7086451,0.7084850,0.7084614,0.7083023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,0.7091542,0.7095903,0.7102157,0.7153195,0.7107476,0.7076065,0.7088944,0.7079798,0.7086754,0.7095417,0.7086298,0.7085332,0.7104872,0.7089555,0.7084693,0.7087487,0.7098479,0.7090935,0.7058081,0.7080194,0.7090422,0.7092229,0.7091001,0.7091367,0.7083059,0.7086085,0.7099026,0.7090204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
