Measurement number,HART-14,HART-15,HART-13,HART-12,HART-16,HART-17,HART-18,HART-19,JACK-11,JACK-22,JACK-24,JACK-25,JACK-31,JACK-33,JACK-34,JACK-35,Elson-23-1,Elson-23-2,Elson-23-3,Elson-26-4,Elson-24-4,Elson-26-2,Elson-23-5,Elson-24-2,Elson-24-3,Elson-24-5,Elson-26-1,Elson-26-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.7110949,,0.7104513,0.7261905,,0.7116206,0.7085671,0.7079697,0.7086571,0.7075030,0.7089398,0.7098894,0.7054744,0.7094475,0.7090104,0.7091536,0.7108685,0.7010311,0.7026756,0.7081177,0.7097480,0.7091605,0.7102688,0.7105515,0.7107161,0.7092686,0.7084938,0.7079778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.7109723,,0.7112317,0.7193037,0.7103236,0.7103946,0.7107280,0.7021704,0.7098496,0.7071136,0.7081430,0.7093799,0.7068336,0.7093453,0.7108266,0.7084036,0.7082151,0.7075011,0.7107271,0.7096245,0.7089755,0.7086071,0.7098725,0.7092635,0.7078087,0.7098866,0.7080236,0.7087711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.7105907,,0.7110301,0.7229296,0.7107446,0.7093121,0.7084103,0.7089991,0.7090190,0.7097310,0.7101009,0.7087122,0.7110845,0.7089010,0.7105463,0.7086959,0.7088339,0.7077186,0.7068491,0.7084690,0.7101635,0.7087870,0.7088064,0.7092999,0.7044984,0.7095769,0.7102565,0.7097044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.7117817,,0.7110726,0.7177851,0.7104690,0.7097605,0.7104313,0.7066652,0.7082124,0.7060993,0.7091644,0.7080840,0.7125512,0.7076220,0.7078199,0.7095234,0.7092279,0.7125269,0.7097142,0.7090733,0.7101096,0.7086320,0.7079480,0.7088664,0.7146039,0.7088062,0.7087534,0.7083817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.7117150,,0.7098955,0.7218180,0.7102799,0.7089060,0.7126141,0.7117241,0.7099504,0.7105176,0.7112152,0.7097194,0.7066221,0.7088302,0.7099984,0.7093893,0.7076649,0.7079932,0.7104494,0.7084127,0.7095921,0.7092323,0.7096907,0.7084666,0.7132642,0.7081605,0.7100421,0.7091696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.7103594,,0.7106645,0.7176338,0.7102010,0.7102149,0.7136795,0.7157139,0.7082177,0.7080116,0.7081716,0.7089824,0.7086511,0.7088816,0.7133418,0.7089605,0.7076962,0.7076564,0.7077980,0.7088273,0.7088077,0.7099991,0.7087947,0.7096543,0.7122292,0.7094410,0.7092009,0.7091217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.7111950,,0.7113131,0.7177252,0.7094994,0.7084660,0.7075429,0.7107798,0.7095056,0.7093504,0.7082244,0.7093581,0.7061043,0.7089704,0.7070014,0.7093122,0.7087217,0.7118877,0.7059637,0.7096075,0.7101186,0.7093975,0.7093646,0.7090572,0.7109718,0.7089643,0.7080301,0.7088213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.7106679,,0.7106575,0.7132090,0.7100688,0.7102177,0.7094954,0.7075758,0.7090099,0.7000335,0.7090293,0.7093280,0.7103618,0.7090524,0.7108597,0.7088641,0.7082778,0.7108443,0.7100035,0.7089799,0.7093915,0.7093514,0.7089523,0.7090833,0.7046148,0.7099467,0.7094373,0.7093686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.7108729,,0.7108079,0.7165869,0.7111350,0.7022028,0.7092631,0.7106440,0.7089024,0.7158298,0.7090556,0.7086675,0.7112533,0.7095784,0.7093849,0.7098379,0.7083206,0.7091590,0.7078492,0.7093221,0.7109059,0.7091768,0.7096043,0.7084246,0.7110553,0.7092056,0.7081718,0.7095744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.7106183,,0.7095425,0.7142201,0.7104107,0.7098908,0.7070799,0.7070454,0.7096456,0.7012345,0.7098899,0.7089824,0.7115261,0.7096946,0.7108916,0.7085963,0.7091523,0.7085991,0.7067542,0.7092618,0.7089861,0.7077053,0.7091310,0.7089469,0.7096511,0.7095874,0.7093435,0.7101370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
